symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HINDALCO.NS,2018-01-23,2018-01-29,stop,265.5153,256.1936,1,-9.58
SHRIRAMFIN.NS,2018-01-29,2018-01-30,stop,287.5974,276.4980,4,-45.53
PIDILITIND.NS,2018-01-31,2018-02-01,stop,449.1488,439.6100,2,-19.97
ASHOKLEY.NS,2018-01-22,2018-02-01,stop,60.8554,59.2907,1,-1.62
INDIGO.NS,2018-01-19,2018-02-02,stop,1210.0092,1177.3218,18,-609.86
NESTLEIND.NS,2017-11-06,2018-02-02,stop,372.1719,357.6421,1,-14.89
PIDILITIND.NS,2018-02-01,2018-02-02,stop,449.6994,440.1845,2,-19.92
TATASTEEL.NS,2018-02-14,2018-02-16,stop,71.9660,69.6703,1,-2.37
COALINDIA.NS,2018-02-07,2018-03-16,stop,292.2921,279.8200,21,-267.92
HCLTECH.NS,2018-03-16,2018-03-19,stop,488.4881,474.0256,12,-179.33
HDFCLIFE.NS,2018-02-07,2018-03-23,stop,443.2215,416.6330,37,-999.68
WIPRO.NS,2018-04-20,2018-04-24,stop,110.6053,108.5102,2,-4.41
NTPC.NS,2018-05-03,2018-05-10,stop,144.4360,141.3585,1,-3.22
BAJFINANCE.NS,2018-05-14,2018-05-17,target,188.2631,207.1420,1,18.68
MOTHERSON.NS,2018-05-14,2018-05-18,stop,62.4925,59.8838,1,-2.67
ASHOKLEY.NS,2018-05-18,2018-05-21,stop,77.5888,73.9380,3,-11.18
LTF.NS,2018-05-29,2018-05-30,stop,162.0948,156.7388,1,-5.52
SAIL.NS,2018-05-30,2018-06-01,stop,77.1771,74.7252,3,-7.58
SAIL.NS,2018-06-07,2018-06-11,target,77.8389,85.8131,3,23.68
HINDALCO.NS,2018-06-14,2018-06-15,stop,247.4473,239.4104,1,-8.28
GODREJCP.NS,2018-03-23,2018-06-26,target,725.6918,788.9244,21,1311.98
GAIL.NS,2018-06-19,2018-06-27,stop,113.1130,110.8890,2,-4.67
ASIANPAINT.NS,2018-06-27,2018-06-28,stop,1281.1301,1251.7473,13,-398.44
SAIL.NS,2018-07-09,2018-07-11,stop,82.0410,77.9220,1,-4.20
ASIANPAINT.NS,2018-07-03,2018-07-23,target,1299.2493,1431.6857,12,1572.85
AUROPHARMA.NS,2018-07-25,2018-07-26,stop,598.2990,587.4121,1,-11.48
M&M.NS,2018-07-24,2018-07-27,stop,914.3069,903.0962,18,-218.15
BAJAJHLDNG.NS,2018-07-27,2018-07-30,stop,2982.9807,2946.0017,5,-199.72
SBIN.NS,2018-07-26,2018-07-30,target,275.2376,298.9793,2,46.91
M&M.NS,2018-07-31,2018-08-02,stop,935.9352,911.1382,16,-411.53
TORNTPHARM.NS,2018-07-03,2018-08-03,target,715.0145,783.1446,1,67.38
AXISBANK.NS,2018-07-27,2018-08-09,target,544.5441,607.4412,2,124.64
INDIANB.NS,2018-08-03,2018-08-10,stop,359.3591,344.6551,2,-30.11
IOC.NS,2018-08-02,2018-08-10,stop,113.3900,109.6236,135,-523.51
SUNPHARMA.NS,2018-08-09,2018-08-10,stop,578.9285,563.7358,2,-31.53
SAIL.NS,2018-08-10,2018-08-13,stop,81.3313,77.6611,9,-33.75
HCLTECH.NS,2018-08-13,2018-08-16,target,484.3840,505.6976,1,20.82
IDFCFIRSTB.NS,2018-08-06,2018-08-17,target,41.6208,46.0903,3,13.28
BRITANNIA.NS,2018-08-10,2018-08-20,target,3183.0907,3332.8328,5,732.42
RBLBANK.NS,2018-08-16,2018-08-21,target,568.8184,599.0839,1,29.68
PETRONET.NS,2018-08-20,2018-08-31,target,224.1239,247.0608,75,1702.59
TECHM.NS,2018-03-21,2018-08-31,target,635.9354,750.1096,9,1021.33
GAIL.NS,2018-08-31,2018-09-04,stop,126.6265,121.3119,190,-1033.33
M&MFIN.NS,2018-09-03,2018-09-04,stop,301.3411,292.7276,4,-35.64
MOTHERSON.NS,2018-08-27,2018-09-04,stop,55.3635,54.2339,6,-7.11
ADANIPORTS.NS,2018-08-24,2018-09-05,stop,385.9857,372.1276,1,-14.24
GAIL.NS,2018-09-11,2018-09-17,stop,127.3803,122.0945,1,-5.41
CANBK.NS,2018-09-17,2018-09-18,stop,54.2943,52.5337,1,-1.81
